checklistID|Roof|Roof_VID|RainGutters|RainGutters_VID|DownSpouts|DownSpouts_VID|ExtWindows|ExtWindows_VID|WindowScreens|WindowScreens_VID|Doors|Doors_VID|DoorScreens|DoorScreens_VID|ExtRailings|ExtRailings_VID|Porch|Porch_VID|Sidewalks|Sidewalks_VID|Walls|Walls_VID|Ceiling|Ceiling_VID|Floors|Floors_VID|IntWindows|IntWindows_VID|Stairs|Stairs_VID|IntRailings|IntRailings_VID|SmokeDetectorsBed1|SmokeDetectorsBed2|SmokeDetectorsBed3|SmokeDetectorsOther|SmokeDetectors_VID|CODetectors|CODetectors_VID|GeneralSanitation|GeneralSanitation_VID|Mold_Mildew|Mold_Mildew_VID|Vermin|Vermin_VID|Trash_Garbage|Trash_Garbage_VID|KitchenFaucets|KitchenFaucets_VID|BathLavatory|BathLavatory_VID|BathTub|BathTub_VID|BathShower|BathShower_VID|LaundryTub|LaundryTub_VID|Toilet|Toilet_VID|ElectricalService|ElectricalService_VID|IdentifyAllBreakers|IdentifyAllBreakers_VID|Switches_CoverPlates|Switches_CoverPlates_VID|Receptacles_CoverPlates|Receptacles_CoverPlates_VID|GFCIs|GFCIs_VID|KitchenElectric|KitchenElectric_VID|BathRoomElectric|BathRoomElectric_VID|CeilingLights|CeilingLights_VID|ExteriorLights|ExteriorLights_VID|Laundry|Laundry_VID|StairwayLights|StairwayLights_VID|GeneralFurnace|GeneralFurnace_VID|FurnaceVent_Exhaust|FurnaceVent_Exhaust_VID|Thermostat|Thermostat_VID|GeneralHotWaterTank|GeneralHotWaterTank_VID|HotWaterVent_Exhaust|HotWaterVent_Exhaust_VID|TPSafetyValve|TPSafetyValve_VID|BlowOff6inFromFloor|BlowOff6inFromFloor_VID|Controller|Controller_VID|RoofComment|RainGuttersComment|DownSpoutsComment|ExtWindowsComment|WindowScreensComment|DoorsComment|DoorScreensComment|ExtRailingsComment|PorchComment|SidewalksComment|WallsComment|CeilingComment|FloorsComment|IntWindowsComment|StairsComment|IntRailingsComment|SmokeDetectorsComment|CODetectorsComment|GeneralSanitationComment|Mold_MildewComment|VerminComment|Trash_GarbageComment|RecycleBinsComment|KitchenFaucetsComment|BathLavatoryComment|BathTubComment|BathShowerComment|LaundryTubComment|ToiletComment|ElectricalServiceComment|IdentifyAllBreakersComment|Switches_CoverPlatesComment|Receptacles_CoverPlatesComment|GFCIsComment|KitchenElectricComment|BathroomElectricComment|CeilingLightsComment|ExteriorLightsComment|LaundryComment|StairwayLightsComment|GeneralFurnaceComment|FurnaceVent_ExhaustComment|ThermostatComment|GeneralHotWaterTankComment|HotWaterVent_ExhaustComment|TPSafetyValveComment|BlowOff6inFromFloorComment|ControllerComment
11|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
12|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
13|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Other|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|Other|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|305.5 - Railing to the 2nd Fl|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|605.2 - Washing machine, above garege door & service panel|None|None|None|604.3, 605.1 - Light bulb in garage|604.3, 605.1 Outside garage|None|None|None|None|None|None|None|None|None|None
14|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|Other|None|None|None|True|False|False|False|None|None|None|None|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Other|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|304.3 - Premises ID|None|None|None|None|307.1 - Basement guards|None|704.2 - Master bedroom did not work|None|None|None|None|None|None|504.1 - Disposal not working|None|None|None|None|None|None|None|None|605.2 - Bedroom 2 & 3|605.2 - Garage & Patio|None|None|None|None|None|None|None|None|None|None|None|None|None|None
15|None|None|Other|None|None|None|None|None|Other|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Other|None|True|True|True|True|None|None|None|Other|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Other|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|304.7 - Gutters have leaves|None|None|304.14 - Dining / Living rm|None|None|307.1 - Front stoop & rear lanscape steps|None|None|None|None|None|None|None|305.5 - Basement steps|704.2 - Mstr, Br 2, 3, 2nd Fl, 1st Fl, Bsmt|None|302.4 - Weeds|305.3 - Basement|None|None|None|None|None|None|None|None|None|604.3 - open splice, open disconnect|None|None|605.2 - Basement, Kitchen|None|None|None|None|None|604.3 - Low voltage wires hanging|None|None|None|None|None|None|None|None|None
16|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|True|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|704.2 - 1st Fl Sleeping Area, Bsmt|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|605.2 - Basement back wall, open ground|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
17|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
18|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
19|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|Other|None|None|None|Other|None|None|None|Other|None|False|False|False|True|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Front, Left & Right Side 304.2|None|None|None|None|None|Front Porch & Driveway 304.12, 307.1|None|None|None|Left Skylight 305.3, 304.13|None|Family Rm 304.13.2|None|Basement 307.1|2nd Fl, 1st Fl 704.2|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Basement Back Wall 605.2|None|None|None|Garage 605.1, Junction Box Bsmt 604.3|None|None|None|None|Clothes Dryer 403.5|None|None|None|None|None|None
20|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
21|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
22|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
23|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
24|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|505.2 - Hose Bibs Right and Rear|None|None|None|None|None|None|304.2 - Conduit|None|None|None|605.2 - Master Bath|None|None|None|None|None|None|None|None|None|None|None|None|None|None
25|None|None|None|None|Other|None|None|None|Other|None|None|None|None|None|Other|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|Other|None|False|False|False|False|None|None|None|None|None|None|None|None|None|Other|None|Other|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Other|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|304.7 - Front Entrance|None|304.14 - Numerous|None|None|304.12 - Driveway Steps|304.3 - Address|None|None|None|None|None|None|307.1 - 2nd Flr, Basement|None|None|None|None|None|302.1, 308.1 - Front Entrance|None|504.1 -|None|None|504.1 - 2nd Fl Bath|None|None|None|None|None|None|None|None|None|605.1 - Kitchen main and sink, 2nd fl Bath lft stanchion|None|604.3, 605.1 - Armored cable|None|None|None|None|None|None|None|None|None
26|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
27|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
28|None|None|None|None|None|None|Other|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|True|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|Other|None|Other|None|Other|None|None|None|None|None|Other|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|304.13.1, 1st Fl Bdrm, Kitchen|304.14, Mstr Br, 1st Fl Br, 1st Fl Toilet|None|None|None|None|None|None|None|None|None|None|None|704.2, 2nd Fl, Br#2, Basement|None|None|None|None|None|None|None|None|None|None|None|None|None|None|605.1, Br#2|605.2, 1st Fl Br|605.2, Kitchen|None|None|605.3, Laundry|605.1, Doorbell|None|None|None|None|None|None|None|None|None|None
29|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|True|True|False|True|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|704.2, Br#1, Br#2, Living Rm|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
30|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|False|False|False|False|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None
31|Other|None|None|None|Other|None|Other|None|None|None|Other|None|None|None|None|None|None|None|None|None|Other|None|Other|None|None|None|None|None|None|None|None|None|True|True|True|True|None|Other|None|Other|None|None|None|Other|None|None|None|Other|None|Other|None|Other|None|Other|None|Other|None|Other|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|Other|None|None|None|None|None|None|None|None|None|None|None|None|None|Other|None|None|None|None|None|Other|None|None|None|304.7, Debris|None|304.7, dislodged|304.13, 304.13.1, 304.13.2 Entrance foyer office|None|304.2, Garage|None|None|None|None|305.3, Dining, Living|305.3, Dining, Living|None|None|None|None|704.2, Mstr Bd, Bed 2, Bed 3, Bed 4 2nd Flr, 1st Flr, Bsmt|304.3 Premises ID|305.3, Garage|None|309.1|None|None|504.1 Water not on|504.1 Water not on|504.1 Water not on|504.1 Water not on|504.1 Water not on|504.1 Water not on|None|None|None|605.2, Bed 2, Bed 4|None|None|None|605.1, Office, 1st Flr Hall|None|None|None|None|None|None|603.4|None|None|603.1|None
