PropertyID|parID|lotAndBlock|address|ApartmentNo|municipality_muniCode
12084|0372C00048000000|372-C-48|2127 GARRICK DR|None|816
12085|0371P00026000000|371-P-26|2010 GARRICK DR|None|816
12086|0372E00114000000|372-E-114|3821 GREENSBURG PIKE|None|816
12087|0371K00254000000|371-K-254|1905 BEULAH RD|None|816
12088|0298K00250000000|298-K-250|2304 MARBURY RD|None|816
12089|0452S00130000000|452-S-130|18 THORNCREST DR|None|953
12090|0454A00069000000|454-A-69|114 GARDENIA DR|None|953
12091|0372F00022000000|372-F-22|45 GARDEN TER|None|816
12092|0372H00192000000|372-H-192|440 WOODLAND HILLS DR|None|816
12093|0371G00072000000|371-G-72|1903 HAMPSTEAD DR|None|816
12094|0371M00244000000|371-M-244|70 LOCKSLEY DR|None|816
12095|0453P00033000000|453-P-33|261 CHURCHILL RD|None|816
12096|0298H00045000000|298-H-45|2517 GREENSBURG PIKE|None|816
12097|0372P00256000000|372-P-256|4015 GREENSBURG PIKE|None|953
12098|0372C00120000000|372-C-120|766 BEULAH RD|None|816
12099|0371F00104000000|371-F-104|1889 BEULAH RD|None|816
12100|0371R00010000000|371-R-10|0 BEULAH RD|None|816
12101|0452N00008000000|452-N-8|3336 LONGBOW DR|None|816
12102|0453M00050000000|453-M-50|136 GEORGE ST|None|953
12103|0372E00250000000|372-E-250|58 GARDEN TER|None|816
12104|0298F00244000000|298-F-244|2312 MARBURY RD|None|816
12105|0371J00004000000|371-J-4|140 FENWICK DR|None|816
12106|0372C00108000000|372-C-108|810 BEULAH RD|None|816
12107|0371P00008000000|371-P-8|2019 GARRICK DR|None|816
12108|0372E00142000000|372-E-142|3830 RURAL CT W|None|816
12109|0371P00006000000|371-P-6|2017 GARRICK DR|None|816
12110|0452N00024000000|452-N-24|3319 SCATHELOCKE RD|None|816
12111|0452F00020000000|452-F-20|3401 RIDGEWOOD DR|None|816
12112|0371R00312000000|371-R-312|317 HOMER DR|None|816
12113|0371L00335000000|371-L-335|35 CHURCHILL RD|None|816
12114|0298S00025000000|298-S-25|0 GREENSBURG PIKE|None|816
12115|0298F00242000000|298-F-242|2310 MARBURY RD|None|816
12116|0452N00010000000|452-N-10|3332 LONGBOW DR|None|816
12117|0452F00028000000|452-F-28|3621 RIDGEWOOD DR|None|816
12118|0541P00068000000|541-P-68|116 QUEENSTON DR|None|953
12119|0541R00056000000|541-R-56|312 DELANEY DR|None|953
12120|0371K00276000000|371-K-276|200 ROYAL OAK AVE|None|816
12121|0455F00006000000|455-F-6|0 HIGHLAND AVE|None|953
12122|0454G00058000000|454-G-58|0 ORCHARD ST|None|953
12123|0372K00129000000|372-K-129|3949 DOWLING AVE|None|953
12124|0372C00178000000|372-C-178|807 MARGARETTA ST|None|816
12125|0455A00008000000|455-A-8|0 HIGHLAND AVE|None|953
12126|0541P00004000000|541-P-4|106 DUNBAR DR|None|953
12127|0453M00018000000|453-M-18|0 BARNES AVE|None|953
12128|0372A00258000000|372-A-258|200 THORNBERRY DR|None|816
12129|0453P00025000000|453-P-25|303 CHURCHILL RD|None|816
12130|0298F00236000000|298-F-236|2428 MARBURY RD|None|816
12131|0372A00212000000|372-A-212|3723 HENLEY DR|None|816
12132|0455A00235000000|455-A-235|460 WILBUR AVE|None|953
12133|0371P00148000000|371-P-148|3814 BURNABY DR|None|816
12134|0372B00096000000|372-B-96|3844 HENLEY DR|None|816
12135|0453M00004000000|453-M-4|106 BAKER ST|None|953
12136|0371R00006000000|371-R-6|2022 BEULAH RD|None|816
12137|0371F00071000000|371-F-71|17 LANCEWOOD DR|None|816
12138|0372G00354000000|372-G-354|2250 BEULAH RD|None|816
12139|0372K00083000000|372-K-83|866 STEVENDALE DR|None|816
12140|0371R00012000000|371-R-12|0 BEULAH RD|None|816
12141|0371R00169000000|371-R-169|0 BEULAH RD|None|816
12142|0372B00026000000|372-B-26|173 THORNBERRY DR|None|816
12143|0372A00262000000|372-A-262|208 THORNBERRY DR|None|816
12144|0371K00258000000|371-K-258|1913 BEULAH RD|None|816
12145|0372G00032000000|372-G-32|421 WOODLAND HILLS DR|None|816
12146|0372E00226000000|372-E-226|10 GARDEN TER|None|816
12147|0372E00274000000|372-E-274|57 GARDEN TER|None|816
12148|0541P00226000000|541-P-226|253 KINGSTON DR|None|953
12149|0454G00120000000|454-G-120|0 CURRY AVE|None|953
12150|0372G00235000000|372-G-235|0 BEULAH RD|None|816
12151|0371R00114000000|371-R-114|2067 HAMPSTEAD DR|None|816
12152|0372C00218000000|372-C-218|331 HOMER DR|None|816
12153|0371P00150000000|371-P-150|3818 BURNABY DR|None|816
12154|0372B00124000000|372-B-124|3819 HENLEY DR|None|816
12155|0371R00026000000|371-R-26|2156 BEULAH RD|None|816
12156|0372B00108000000|372-B-108|3820 HENLEY DR|None|816
12157|0372E00280000000|372-E-280|63 GARDEN TER|None|816
12158|0372E00276000000|372-E-276|59 GARDEN TER|None|816
12159|0453K00088000000|453-K-88|337 CHURCHILL RD|None|816
12160|0371F00163000000|371-F-163|1922 HAMPSTEAD DR|None|816
12161|0372C00215000000|372-C-215|333 HOMER DR|None|816
12162|0372C00098000000|372-C-98|816 BEULAH RD|None|816
12163|0371P00012000000|371-P-12|2023 GARRICK DR|None|816
12164|0371R00032000000|371-R-32|2111 GARRICK DR|None|816
12165|0372A00248000000|372-A-248|181 THORNBERRY DR|None|816
12166|0372B00120000000|372-B-120|3811 HENLEY DR|None|816
12167|0372C00191000000|372-C-191|819 MARGARETTA ST|None|816
12168|0372F00196000000|372-F-196|162 KINGSDALE RD|None|816
12169|0372G00030000000|372-G-30|417 WOODLAND HILLS DR|None|816
12170|0372A00226000000|372-A-226|209 THORNBERRY DR|None|816
12171|0452N00038000000|452-N-38|3310 SCATHELOCKE RD|None|816
12172|0371G00074000000|371-G-74|1901 HAMPSTEAD DR|None|816
12173|0541P00066000000|541-P-66|114 QUEENSTON DR|None|953
12174|0453K00063000000|453-K-63|315 CHURCHILL RD|None|816
12175|0452N00036000000|452-N-36|3314 SCATHELOCKE RD|None|816
12176|0373D00195000000|373-D-195|606 BROWN AVE|None|953
12177|0371R00034000000|371-R-34|2095 GARRICK DR|None|816
12178|0372C00107000000|372-C-107|808 BEULAH RD|None|816
12179|0372A00190000000|372-A-190|3734 E RURAL CT|None|816
12180|0371G00300000000|371-G-300|27 CHURCHILL RD|None|816
12181|0372C00044000000|372-C-44|2164 BEULAH RD|None|816
12182|0453J00132000000|453-J-132|120 TYNEWOOD DR|None|953
12183|0371R00332000000|371-R-332|307 HOMER DR|None|816
12184|0372C00054000000|372-C-54|2175 GARRICK DR|None|816
12185|0371F00074000000|371-F-74|104 VALIANT DR|None|816
12186|0454H00062000000|454-H-62|907 LARIMER AVE|None|953
12187|0373G00076000000|373-G-76|4219 GREENSBURG PIKE|None|953
12188|0372B00104000000|372-B-104|3828 HENLEY DR|None|816
12189|0372F00010000000|372-F-10|35 GARDEN TER|None|816
12190|0372E00198000000|372-E-198|17 GARDEN TER|None|816
12191|0371R00138000000|371-R-138|834 BEULAH RD|None|816
12192|0372C00200000000|372-C-200|806 MARGARETTA ST|None|816
12193|0371F00073000000|371-F-73|122 FENWICK DR|None|816
12194|0455A00007000000|455-A-7|0 HIGHLAND AVE|None|953
12195|0452N00006000000|452-N-6|3340 LONGBOW DR|None|816
12196|0371L00038000000|371-L-38|2027 HAMPSTEAD DR|None|816
12197|0372C00154000000|372-C-154|761 MARGARETTA ST|None|816
12198|0371P00110000000|371-P-110|2114 GARRICK DR|None|816
12199|0455A00010000000|455-A-10|0 HIGHLAND AVE|None|953
12200|0371P00154000000|371-P-154|3826 BURNABY DR|None|816
12201|0371R00170000000|371-R-170|820 BEULAH RD|None|816
12202|0371K00256000000|371-K-256|1909 BEULAH RD|None|816
12203|0371R00126000000|371-R-126|2075 HAMPSTEAD DR|None|816
12204|0371L00016000000|371-L-16|2016 HAMPSTEAD DR|None|816
12205|0452K00034000000|452-K-34|3435 RIDGEWOOD DR|None|816
12206|0371R00112000000|371-R-112|2063 HAMPSTEAD DR|None|816
12207|0372B00082000000|372-B-82|2178 GARRICK DR|None|816
12208|0372E00228000000|372-E-228|8 GARDEN TER|None|816
12209|0371K00284000000|371-K-284|1943 HAMPSTEAD DR|None|816
12210|0372C00165000000|372-C-165|398 HOMER DR|None|816
12211|0372G00230000000|372-G-230|740 BEULAH RD|None|816
12212|0372F00212000000|372-F-212|865 STEVENDALE DR|None|816
12213|0371F00144000000|371-F-144|1911 HAMPSTEAD DR|None|816
12214|0037B00088000000|37-B-88|2130 GARRICK DR|None|816
12215|0372B00084000000|372-B-84|2162 GARRICK DR|None|816
12216|0453P00203000000|453-P-203|1605 VINESEIAN PL|None|953
12217|0453P00050000000|453-P-50|251 CHURCHILL RD|None|953
12218|0372A00204000000|372-A-204|3741 RURAL CT E|None|816
12219|0371K00110000000|371-K-110|1 LEWIN LN|None|816
12220|0371R00008000000|371-R-8|2024 BEULAH RD|None|816
12221|0452F00010000000|452-F-10|3402 RIDGEWOOD DR|None|816
12222|0372C00105000000|372-C-105|812 BEULAH RD|None|816
12223|0372B00100000000|372-B-100|3836 HENLEY DR|None|816
12224|0452J00090000000|452-J-90|3316 LONGBOW DR|None|816
12225|0372A00238000000|372-A-238|3714 HENLEY DR|None|816
12226|0372B00076000000|372-B-76|1 LEAR DR|None|816
12227|0372B00024000000|372-B-24|169 THORNBERRY DR|None|816
12228|0371R00201000000|371-R-201|0 SUZANNE DR|None|816
12229|0372C00235000000|372-C-235|342 HOMER DR|None|816
12230|0372A00240000000|372-A-240|3710 HENLEY DR|None|816
12231|0453K00091000000|453-K-91|339 CHURCHILL RD|None|816
12232|0453K00071000000|453-K-71|323 CHURCHILL RD|None|816
12233|0452J00080000000|452-J-80|3219 NOTTINGHAM DR|None|816
12234|0372C00180000000|372-C-180|811 MARGARETTA ST|None|816
12235|0298H00035000000|298-H-35|2511 GREENSBURG PIKE|None|816
12236|0372B00092000000|372-B-92|3852 HENLEY DR|None|816
12237|0371K00070000000|371-K-70|1916 GARRICK DR|None|816
12238|0371R00367000000|371-R-367|310 HOMER DR|None|816
12239|0372C00052000000|372-C-52|2159 GARRICK DR|None|816
12240|0371L00034000000|371-L-34|2035 HAMPSTEAD DR|None|816
12241|0372A00146000000|372-A-146|3761 GREENSBURG PIKE|None|816
12242|0371P00120000000|371-P-120|3868 HENLEY DR|None|816
12243|0372A00234000000|372-A-234|3722 HENLEY DR|None|816
12244|0371R00336000000|371-R-336|303 HOMER DR|None|816
12245|0372C00186000000|372-C-186|817 MARGARETTA ST|None|816
12246|0372C00024000000|372-C-24|2191 GARRICK DR|None|816
12247|0372A00134000000|372-A-134|3749 GREENSBURG PIKE|None|816
12248|0371L00040000000|371-L-40|2023 HAMPSTEAD DR|None|816
12249|0372A00138000000|372-A-138|3753 GREENSBURG PIKE|None|816
12250|0371R00022000000|371-R-22|2140 BEULAH RD|None|816
12251|0371R00198000000|371-R-198|2111 SUZANNE DR|None|816
12252|0371P00156000000|371-P-156|3830 BURNABY DR|None|816
12253|0371G00170000000|371-G-170|30 CHURCHILL RD|None|816
12254|0372C00112000000|372-C-112|806 BEULAH RD|None|816
12255|0372E00122000000|372-E-122|3843 GREENSBURG PIKE|None|816
12256|0452K00060000000|452-K-60|3454 RIDGEWOOD DR|None|816
12257|0372A00158000000|372-A-158|3783 GREENSBURG PIKE|None|816
12258|0370J00010000000|370-J-10|0 BEULAH RD|None|816
12259|0452C00086000000|452-C-86|0 OLD WILLIAM PENN HWY|None|953
12260|0371P00022000000|371-P-22|2014 GARRICK DR|None|816
12261|0371P00010000000|371-P-10|2021 GARRICK DR|None|816
12262|0371J00006000000|371-J-6|146 FENWICK DR|None|816
12263|0372C00100000000|372-C-100|0 BEULAH RD|None|816
12264|0372B00098000000|372-B-98|3840 HENLEY DR|None|816
12265|0452G00062000000|452-G-62|3736 OLD WILLIAM PENN HWY|None|953
12266|0371F00198000000|371-F-198|36 HOLLAND RD|None|816
12267|0372B00102000000|372-B-102|3832 HENLEY DR|None|816
12268|0371M00290000000|371-M-290|3251 NOTTINGHAM DR|None|816
12269|0452G00056000000|452-G-56|3752 OLD WILLIAM PENN HWY|None|953
12270|0371R00275000000|371-R-275|826 MARGARETTA ST|None|816
12271|0373H00144000000|373-H-144|556 BROWN AVE|-558|953
12272|0373H00144000000|373-H-144|556 BROWN AVE|-558|953
12273|0371R00106000000|371-R-106|2068 HAMPSTEAD DR|None|816
12274|0372G00100000000|372-G-100|0 BEULAH RD|None|816
12275|0371F00070000000|371-F-70|110 FENWICK DR|None|816
12276|0452F00094000000|452-F-94|3611 MCCRADY RD|None|816
12277|0372C00250000000|372-C-250|0 MARGARETTA ST|None|816
12278|0374L00323000000|374-L-323|0 PATTERSON ST|None|953
12279|0374L00320000000|374-L-320|0 PATTERSON ST|None|953
12280|0297D00126000000|297-D-126|1704 YORKTOWN PL|None|816
12281|0374H00228000000|374-H-228|142 DOROTHY ST|None|953
12282|0374H00226000000|374-H-226|140 DOROTHY ST|None|953
12283|0374H00230000000|374-H-230|144 DOROTHY ST|None|953
12284|0454B00158000000|454-B-158|214 CHURCHILL RD|None|953
12285|0452H00052000000|452-H-52|1424 JEFFERSON HEIGHTS RD|None|953
12286|0454B00236000000|454-B-236|213 CHURCHILL RD|None|953
12287|0371R00200000000|371-R-200|825 MARGARETTA ST|None|816
12288|0373C00098000000|373-C-98|904 RITA DR|None|953
12289|0451N00375000000|451-N-375|0 RODI RD|None|816
12290|0373D00024000000|373-D-24|519 LUCIA RD|None|953
12291|0452F00066000000|452-F-66|1000 GILCHREST DR|None|953
12292|0373C00096000000|373-C-96|906 RITA DR|None|953
12293|0541E00150000000|541-E-150|1417 JEFFERSON HEIGHTS RD|None|953
12294|0454B00067000000|454-B-67|14 CURRY CT|None|953
12295|0373D00044000000|373-D-44|1015 ELIZABETH ST|None|953
